ticket_id,summary,description,status,assignee,created_at,category,priority
TKT-0167,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Charlie,2025-04-09T21:04:18.319933,Monitoring,Medium
TKT-0168,Request for admin privileges,User requests temporary admin access to install software.,Closed,Conor,2025-04-09T21:04:18.321932,System Performance,Low
TKT-0169,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Eric,2025-04-09T21:04:18.324442,Access Management,Critical
TKT-0170,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Paul,2025-04-09T21:04:18.325452,Software Issue,Medium
TKT-0171,Password reset required,User forgot their password and is locked out of their account.,Closed,Vivek,2025-04-09T21:04:18.327451,User Support,Medium
TKT-0172,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Charlie,2025-04-09T21:04:18.329452,System Performance,Critical
TKT-0173,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Diana,2025-04-09T21:04:18.331452,Software,Low
TKT-0174,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Conor,2025-04-09T21:04:18.333452,Network Issue,Medium
TKT-0175,Request for admin privileges,User requests temporary admin access to install software.,Closed,Eric,2025-04-09T21:04:18.334964,Security,Low
TKT-0176,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Paul,2025-04-09T21:04:18.336969,Monitoring,Critical
TKT-0177,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Conor,2025-04-09T21:04:18.338478,User Support,Critical
TKT-0178,Install antivirus software,Antivirus software missing on workstation.,Closed,Diana,2025-04-09T21:04:18.340488,Software,High
TKT-0179,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Eric,2025-04-09T21:04:18.342489,Network Issue,Medium
TKT-0180,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Bob,2025-04-09T21:04:18.343487,Software,Critical
TKT-0181,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Paul,2025-04-09T21:04:18.346006,Monitoring,High
TKT-0182,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Conor,2025-04-09T21:04:18.347007,System Performance,Low
TKT-0183,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Alice,2025-04-09T21:04:18.349526,Software,Low
TKT-0184,Request for admin privileges,User requests temporary admin access to install software.,Closed,Bob,2025-04-09T21:04:18.351526,Software Issue,High
TKT-0185,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Conor,2025-04-09T21:04:18.353526,Printing,High
TKT-0186,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Bob,2025-04-09T21:04:18.355039,Software,Critical
TKT-0187,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Alice,2025-04-09T21:04:18.357045,User Support,Critical
TKT-0188,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Conor,2025-04-09T21:04:18.358554,Software Issue,High
TKT-0189,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Conor,2025-04-09T21:04:18.360564,System Performance,Medium
TKT-0190,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Diana,2025-04-09T21:04:18.362565,Software,Critical
TKT-0191,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Diana,2025-04-09T21:04:18.364564,Access Management,Medium
TKT-0192,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Alice,2025-04-09T21:04:18.366082,Email,Low
TKT-0193,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Bob,2025-04-09T21:04:18.368591,Security,High
TKT-0194,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Fernando,2025-04-09T21:04:18.370601,Printing,High
TKT-0195,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Eric,2025-04-09T21:04:18.371601,Access Management,Critical
TKT-0196,Install antivirus software,Antivirus software missing on workstation.,Closed,Fernando,2025-04-09T21:04:18.373601,Printing,Medium
TKT-0197,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Conor,2025-04-09T21:04:18.376119,System Performance,Low
TKT-0198,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Paul,2025-04-09T21:04:18.377119,System Performance,Critical
TKT-0199,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Vivek,2025-04-09T21:04:18.379639,Network Issue,Medium
TKT-0200,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Vivek,2025-04-09T21:04:18.381649,Software Issue,High
TKT-0201,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Charlie,2025-04-09T21:04:18.383649,Access Management,Low
TKT-0202,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Charlie,2025-04-09T21:04:18.385161,Email,Low
TKT-0203,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Diana,2025-04-09T21:04:18.387166,Network Issue,High
TKT-0204,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Diana,2025-04-09T21:04:18.389686,Email,Medium
TKT-0205,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Vivek,2025-04-09T21:04:18.390686,Printing,Medium
TKT-0206,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Vivek,2025-04-09T21:04:18.392687,Software,High
TKT-0207,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Alice,2025-04-09T21:04:18.395199,System Performance,Medium
TKT-0208,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Vivek,2025-04-09T21:04:18.397204,Software,Critical
TKT-0209,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Charlie,2025-04-09T21:04:18.398794,Monitoring,High
TKT-0210,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Paul,2025-04-09T21:04:18.400875,Software Issue,Low
TKT-0211,Password reset required,User forgot their password and is locked out of their account.,Closed,Bob,2025-04-09T21:04:18.402869,Network Issue,Critical
TKT-0212,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Closed,Paul,2025-04-09T21:04:18.404873,Software Issue,Medium
TKT-0213,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Conor,2025-04-09T21:04:18.407183,User Support,Low
TKT-0214,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Fernando,2025-04-09T21:04:18.408709,Hardware,Low
TKT-0215,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Alice,2025-04-09T21:04:18.410720,Software,Low
TKT-0216,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Eric,2025-04-09T21:04:18.412727,System Performance,Critical
TKT-0217,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Diana,2025-04-09T21:04:18.415245,System Performance,Low
TKT-0218,Password reset required,User forgot their password and is locked out of their account.,Closed,Paul,2025-04-09T21:04:18.416257,Security,Low
TKT-0219,Request for admin privileges,User requests temporary admin access to install software.,Closed,Paul,2025-04-09T21:04:18.418773,Security,Low
TKT-0220,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Alice,2025-04-09T21:04:18.420794,Security,Critical
TKT-0221,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Eric,2025-04-09T21:04:18.422788,Network Issue,High
TKT-0222,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Fernando,2025-04-09T21:04:18.424788,Network Issue,Low
TKT-0223,Password reset required,User forgot their password and is locked out of their account.,Closed,Charlie,2025-04-09T21:04:18.426317,Software Issue,Low
TKT-0224,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Diana,2025-04-09T21:04:18.429834,Email,High
TKT-0225,Password reset required,User forgot their password and is locked out of their account.,Closed,Paul,2025-04-09T21:04:18.431832,User Support,Low
TKT-0226,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Charlie,2025-04-09T21:04:18.433840,Software,Low
TKT-0227,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Eric,2025-04-09T21:04:18.436371,Printing,Low
TKT-0228,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Paul,2025-04-09T21:04:18.437356,System Performance,High
TKT-0229,Install antivirus software,Antivirus software missing on workstation.,Closed,Bob,2025-04-09T21:04:18.440892,Security,Low
TKT-0230,Install antivirus software,Antivirus software missing on workstation.,Closed,Bob,2025-04-09T21:04:18.442898,Access Management,High
TKT-0231,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Charlie,2025-04-09T21:04:18.445422,User Support,High
TKT-0232,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Paul,2025-04-09T21:04:18.447423,Software,High
TKT-0233,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Alice,2025-04-09T21:04:18.449945,Software Issue,Low
TKT-0234,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Eric,2025-04-09T21:04:18.451945,Network Issue,Critical
TKT-0235,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Fernando,2025-04-09T21:04:18.454465,User Support,Medium
TKT-0236,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Eric,2025-04-09T21:04:18.456474,Software Issue,High
TKT-0237,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Fernando,2025-04-09T21:04:18.458475,Access Management,High
TKT-0238,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Bob,2025-04-09T21:04:18.460474,Monitoring,High
TKT-0239,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Diana,2025-04-09T21:04:18.462474,Email,Low
TKT-0240,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Paul,2025-04-09T21:04:18.464986,Hardware,Medium
TKT-0241,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Eric,2025-04-09T21:04:18.466991,Email,Low
TKT-0242,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Vivek,2025-04-09T21:04:18.468499,Software Issue,Critical
TKT-0243,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Vivek,2025-04-09T21:04:18.470508,Hardware,Low
TKT-0244,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Paul,2025-04-09T21:04:18.472508,Hardware,Critical
TKT-0245,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Bob,2025-04-09T21:04:18.475020,User Support,High
TKT-0246,System slowness during login,Multiple users report slow login times in the morning.,Closed,Vivek,2025-04-09T21:04:18.477025,Software Issue,Low
TKT-0247,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Alice,2025-04-09T21:04:18.478533,Email,High
TKT-0248,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Conor,2025-04-09T21:04:18.480552,Access Management,Low
TKT-0249,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Eric,2025-04-09T21:04:18.482552,User Support,Low
TKT-0250,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Conor,2025-04-09T21:04:18.485064,Software Issue,High
TKT-0251,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Eric,2025-04-09T21:04:18.487069,User Support,High
TKT-0252,Install antivirus software,Antivirus software missing on workstation.,Closed,Conor,2025-04-09T21:04:18.488577,Printing,Low
TKT-0253,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Paul,2025-04-09T21:04:18.490657,Software,Critical
TKT-0254,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Eric,2025-04-09T21:04:18.493652,Monitoring,High
TKT-0255,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Vivek,2025-04-09T21:04:18.495238,Email,High
TKT-0256,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Vivek,2025-04-09T21:04:18.497308,Access Management,High
TKT-0257,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Fernando,2025-04-09T21:04:18.498885,Software Issue,Critical
TKT-0258,Password reset required,User forgot their password and is locked out of their account.,Closed,Vivek,2025-04-09T21:04:18.500961,User Support,Critical
TKT-0259,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Charlie,2025-04-09T21:04:18.502962,Security,Low
TKT-0260,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Fernando,2025-04-09T21:04:18.505545,Software Issue,Medium
TKT-0261,Request for admin privileges,User requests temporary admin access to install software.,Closed,Alice,2025-04-09T21:04:18.507535,Hardware,High
TKT-0262,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Conor,2025-04-09T21:04:18.509535,Software Issue,Medium
TKT-0263,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Vivek,2025-04-09T21:04:18.511534,System Performance,Low
TKT-0264,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Diana,2025-04-09T21:04:18.513540,Network Issue,Low
TKT-0265,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Charlie,2025-04-09T21:04:18.516052,Hardware,Low
TKT-0266,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Eric,2025-04-09T21:04:18.517058,Access Management,Low
TKT-0267,Install antivirus software,Antivirus software missing on workstation.,Closed,Conor,2025-04-09T21:04:18.520585,Network Issue,High
TKT-0268,System slowness during login,Multiple users report slow login times in the morning.,Closed,Conor,2025-04-09T21:04:18.522593,Hardware,Low
TKT-0269,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Vivek,2025-04-09T21:04:18.524592,Access Management,High
TKT-0270,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Charlie,2025-04-09T21:04:18.526111,System Performance,Critical
TKT-0271,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Alice,2025-04-09T21:04:18.528624,Network Issue,Low
TKT-0272,Cannot connect to shared drive,Shared drive not visible under network locations.,Closed,Vivek,2025-04-09T21:04:18.530641,Access Management,High
TKT-0273,Request for admin privileges,User requests temporary admin access to install software.,Closed,Eric,2025-04-09T21:04:18.532635,Software,High
TKT-0274,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Diana,2025-04-09T21:04:18.534635,Security,High
TKT-0275,Request for admin privileges,User requests temporary admin access to install software.,Closed,Paul,2025-04-09T21:04:18.536794,Printing,Medium
TKT-0276,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Fernando,2025-04-09T21:04:18.539789,Monitoring,Low
TKT-0277,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Conor,2025-04-09T21:04:18.541792,Security,Critical
TKT-0278,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Eric,2025-04-09T21:04:18.543790,System Performance,Low
TKT-0279,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Paul,2025-04-09T21:04:18.545308,Access Management,Critical
TKT-0280,System slowness during login,Multiple users report slow login times in the morning.,Closed,Paul,2025-04-09T21:04:18.547316,Printing,Medium
TKT-0281,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Diana,2025-04-09T21:04:18.549855,Hardware,Low
TKT-0282,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Alice,2025-04-09T21:04:18.551850,Software Issue,Critical
TKT-0283,Password reset required,User forgot their password and is locked out of their account.,Closed,Diana,2025-04-09T21:04:18.553843,User Support,Low
TKT-0284,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Eric,2025-04-09T21:04:18.556379,Access Management,High
TKT-0285,Printer not working on 3rd floor,Printer on 3rd floor throws paper jam error frequently.,Closed,Diana,2025-04-09T21:04:18.558911,Printing,Critical
TKT-0286,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Eric,2025-04-09T21:04:18.560927,Software,Critical
TKT-0287,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Eric,2025-04-09T21:04:18.562930,Access Management,High
TKT-0288,Password reset required,User forgot their password and is locked out of their account.,Closed,Charlie,2025-04-09T21:04:18.564447,Access Management,Low
TKT-0289,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Charlie,2025-04-09T21:04:18.566471,Software,Low
TKT-0290,Password reset required,User forgot their password and is locked out of their account.,Closed,Fernando,2025-04-09T21:04:18.568996,System Performance,Low
TKT-0291,Missing email from inbox,User cannot locate important client email in inbox.,Closed,Charlie,2025-04-09T21:04:18.570997,Monitoring,High
TKT-0292,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Charlie,2025-04-09T21:04:18.572992,Access Management,Medium
TKT-0293,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Fernando,2025-04-09T21:04:18.575520,Software Issue,Critical
TKT-0294,Request for admin privileges,User requests temporary admin access to install software.,Closed,Fernando,2025-04-09T21:04:18.577525,Network Issue,Low
TKT-0295,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Bob,2025-04-09T21:04:18.579525,Security,Medium
TKT-0296,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Eric,2025-04-09T21:04:18.581939,Access Management,High
TKT-0297,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Fernando,2025-04-09T21:04:18.584445,Hardware,High
TKT-0298,Install antivirus software,Antivirus software missing on workstation.,Closed,Bob,2025-04-09T21:04:18.586461,Software,High
TKT-0299,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Diana,2025-04-09T21:04:18.588467,Security,Low
TKT-0300,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Charlie,2025-04-09T21:04:18.591460,Monitoring,Medium
TKT-0301,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Charlie,2025-04-09T21:04:18.593459,Printing,Medium
TKT-0302,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Closed,Conor,2025-04-09T21:04:18.595513,Software,Low
TKT-0303,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Vivek,2025-04-09T21:04:18.598515,Access Management,Low
TKT-0304,Access request for finance folder,Need read-only access to finance folder for audit purposes.,Closed,Diana,2025-04-09T21:04:18.601520,Monitoring,Critical
TKT-0305,New employee onboarding setup,New employee joining on Monday requires system setup.,Closed,Paul,2025-04-09T21:04:18.603520,Software Issue,Medium
TKT-0306,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Fernando,2025-04-09T21:04:18.605666,Security,Low
TKT-0307,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Vivek,2025-04-09T21:04:18.607664,Printing,Medium
TKT-0308,Password reset required,User forgot their password and is locked out of their account.,Closed,Alice,2025-04-09T21:04:18.610671,Software,High
TKT-0309,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Alice,2025-04-09T21:04:18.612679,Printing,High
TKT-0310,Unable to access intranet,User reports they cannot access the internal bank portal.,Closed,Alice,2025-04-09T21:04:18.614672,Monitoring,Medium
TKT-0311,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Vivek,2025-04-09T21:04:18.617180,User Support,Low
TKT-0312,System slowness during login,Multiple users report slow login times in the morning.,Closed,Fernando,2025-04-09T21:04:18.618699,Access Management,Critical
TKT-0313,Install antivirus software,Antivirus software missing on workstation.,Closed,Charlie,2025-04-09T21:04:18.621720,Monitoring,Low
TKT-0314,Install antivirus software,Antivirus software missing on workstation.,Closed,Bob,2025-04-09T21:04:18.623714,Network Issue,Critical
TKT-0315,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Alice,2025-04-09T21:04:18.627243,Software Issue,High
TKT-0316,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Diana,2025-04-09T21:04:18.629769,Software,Medium
TKT-0317,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Bob,2025-04-09T21:04:18.631775,System Performance,High
TKT-0318,File recovery request,Need help recovering accidentally deleted financial files.,Closed,Alice,2025-04-09T21:04:18.634782,User Support,Medium
TKT-0319,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Eric,2025-04-09T21:04:18.636312,Email,High
TKT-0320,System slowness during login,Multiple users report slow login times in the morning.,Closed,Charlie,2025-04-09T21:04:18.638816,Software Issue,Medium
TKT-0321,Install antivirus software,Antivirus software missing on workstation.,Closed,Diana,2025-04-09T21:04:18.640824,Monitoring,Critical
TKT-0322,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Closed,Paul,2025-04-09T21:04:18.643827,Software Issue,Low
TKT-0323,Monitor not detecting input,Monitor screen remains black despite power supply.,Closed,Eric,2025-04-09T21:04:18.646353,Hardware,Low
TKT-0324,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Closed,Fernando,2025-04-09T21:04:18.647362,Security,High
TKT-0325,Software update failure,Update failed with error code 0x800f0831 on several machines.,Closed,Charlie,2025-04-09T21:04:18.650897,Software Issue,Critical
TKT-0326,Two-factor authentication setup,Help needed to configure 2FA for remote login.,Closed,Conor,2025-04-09T21:04:18.652897,System Performance,Critical
TKT-0327,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Diana,2025-04-09T21:04:18.655434,Printing,High
TKT-0328,Install antivirus software,Antivirus software missing on workstation.,Closed,Eric,2025-04-09T21:04:18.657431,Email,High
TKT-0329,System slowness during login,Multiple users report slow login times in the morning.,Closed,Eric,2025-04-09T21:04:18.662958,Network Issue,Low
TKT-0330,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Closed,Fernando,2025-04-09T21:04:18.665476,Access Management,Critical
TKT-0331,VPN connection timeout,VPN disconnects after 5 minutes of use.,Closed,Bob,2025-04-09T21:04:18.667474,Security,Medium
TKT-0332,Mouse and keyboard unresponsive,Mouse and keyboard are not responding after reboot.,Closed,Charlie,2025-04-09T21:04:18.669474,Security,Low
